Id,Name,Description,PlainText,Image,Gold,Tags,Stats
1057,Negatron Cloak,<mainText><stats><attention>50</attention> Magic Resist</stats></mainText><br>,Moderately increases Magic Resist,1057.png,900,SpellBlock,50mr
1058,Needlessly Large Rod,<mainText><stats><attention>60</attention> Ability Power</stats></mainText><br>,Greatly increases Ability Power,1058.png,1250,SpellDamage,60ap
1082,Dark Seal,<mainText><stats><attention>15</attention> Ability Power<br><attention>40</attention> Health</stats><br><li><passive>Glory:</passive> Gain 2 stacks for a champion kill or 1 stack for an assist (up to 10 stacks total). Lose 5 stacks on death.<li><passive>Dread:</passive> Grants <scaleAP>4 Ability Power</scaleAP> per stack of <passive>Glory</passive>.<br><br><rules>Obtained <passive>Glory</passive> stacks are preserved between this item and <rarityLegendary>Mejai's Soulstealer</rarityLegendary>.</rules></mainText><br>,Provides Ability Power and Mana.  Increases in power as you kill enemies.,1082.png,350,Health SpellDamage Lane,15ap 40hp
1083,Cull,<mainText><stats><attention>7</attention> Attack Damage</stats><br><li>Attacks restore <healing>3 Health</healing> per hit.<li><passive>Reap:</passive> Killing a lane minion grants <goldGain>1</goldGain> additional gold. Killing 100 lane minions grants an additional <goldGain>350</goldGain> bonus gold immediately and disables <passive>Reap</passive>.<br></mainText><br>,Provides damage and Life Steal on hit - Killing minions grant bonus Gold,1083.png,450,Damage LifeSteal Lane,7ad
2003,Health Potion,<mainText><stats></stats><active>Active - Consume:</active> Drink the potion to restore <healing>150 Health</healing> over 15 seconds.<br><br><rules>You may carry up to 5 Health Potions.</rules></mainText><br>,Consume to restore Health over time,2003.png,50,HealthRegen Consumable Lane Jungle,
2010,Total Biscuit of Everlasting Will,<mainText><stats></stats><active>Active - Consume:</active> Eat the biscuit to restore <healing>10% missing Health</healing> and <scaleMana>Mana</scaleMana> over 5 seconds. Consuming or selling a biscuit permanently grants <scaleMana>50 maximum Mana</scaleMana>. </mainText><br>,,2010.png,50,,
2015,Kircheis Shard,<mainText><stats><attention>15%</attention> Attack Speed</stats><br><li><passive>Energized:</passive> Moving and Attacking will generate an Energized Attack.<li><passive>Jolt:</passive> Energized Attacks gain an additional <magicDamage>80 magic damage</magicDamage>.</mainText><br>,Attack speed and a chargable magic hit,2015.png,700,AttackSpeed,15as
2031,Refillable Potion,<mainText><stats></stats><active>Active - Consume:</active> Consumes a charge to restore <healing>125 Health</healing> over 12 seconds. Holds up to 2 charges and refills upon visiting the shop.</mainText><br>,Restores Health over time. Refills at shop.,2031.png,150,HealthRegen Consumable Active Lane Jungle,
2033,Corrupting Potion,"<mainText><stats></stats><active>Active - Consume:</active> Consumes a charge to restore <healing>125 Health</healing> and <scaleMana>75 Mana</scaleMana> over 12 seconds. During this time, damaging Abilities and Attacks burn enemy champions for <magicDamage>15 (20 if you cannot gain Mana) magic damage</magicDamage> over 3 seconds. Holds up to 3 charges and refills upon visiting the shop.<br><br><rules>Corrupting damage is reduced to 50% when triggered by area of effect or periodic damage.</rules></mainText><br>",Restores Health and Mana over time and boosts combat power - Refills at Shop,2033.png,500,Active Consumable HealthRegen Lane ManaRegen,
2051,Guardian's Horn,<mainText><stats><attention>150</attention> Health</stats><br><li><passive>Recovery:</passive> Restores <healing>20 Health</healing> every 5 seconds.<li><passive>Undaunted:</passive> Blocks 15 damage from attacks and spells from champions (25% effectiveness vs. damage over time abilities).<li><passive>Legendary:</passive> This item counts as a <rarityLegendary>Legendary</rarityLegendary> item.</mainText><br>,Good starting item for tanks,2051.png,950,Health HealthRegen Lane,150hp
2052,Poro-Snax,"<mainText><stats></stats><active>Active - Consume:</active> Serves a scrumptious scoop to a nearby Poro, causing it to grow in size.</mainText><br>",,2052.png,0,,
2055,Control Ward,"<mainText><stats></stats><active>Active - Consume:</active> Places a powerful Control Ward that grants vision of the surrounding area. This device will also reveal <keywordStealth>Invisible</keywordStealth> traps, reveal <keywordStealth>Camouflaged</keywordStealth> enemies, and reveal (and disable) enemy Stealth Wards. <br><br><rules>You may carry up to 2 Control Wards. Control Wards do not disable other Control Wards.</rules></mainText><br>",Used to disable wards and invisible traps in an area.,2055.png,75,Consumable Lane Stealth Vision,
2065,Shurelya's Battlesong,<mainText><stats><attention>40</attention> Ability Power<br><attention>200</attention> Health<br><attention>20</attention> Ability Haste<br><attention>100%</attention> Base Mana Regen</stats><br><br><active>Active -</active> <active>Inspire:</active> Grants nearby allies <speed>30% Move Speed</speed> for 4 seconds (75s cooldown).<br><li><passive>Motivate:</passive> Empowering or Protecting another ally Champion grants both allies <speed>25% Move Speed</speed> for 1.5 seconds.<br><br><rarityMythic>Mythic Passive:</rarityMythic> Grants all other <rarityLegendary>Legendary</rarityLegendary> items <attention>5</attention> Ability Haste.<br><br><rules>An ally can only be affected by <keywordMajor>Motivate</keywordMajor> once every 4 seconds.</rules></mainText><br>,Activate to speed up nearby allies.,2065.png,2500,Health SpellDamage ManaRegen Active CooldownReduction NonbootsMovement AbilityHaste,40ap 200hp 20ah 100mpr
2138,Elixir of Iron,"<mainText><stats></stats><active>Active - Consume:</active> Drink to gain <scaleHealth>300 Health</scaleHealth>, 25% Tenacity, and increased champion size for 3 minutes. While active, moving leaves a path behind that boosts allied champions' <speed>Move Speed by 15%</speed>.<br><br><rules>Drinking a different Elixir will replace the existing one's effects.</rules></mainText><br>",Temporarily increases defenses. Leaves a trail for allies to follow.,2138.png,500,Health Consumable NonbootsMovement Tenacity,
2139,Elixir of Sorcery,"<mainText><stats></stats><active>Active - Consume:</active> Drink to gain <scaleAP>50 Ability Power</scaleAP> and <scaleMana>15% Mana Regen</scaleMana> for 3 minutes. While active, damaging a champion or turret deals <trueDamage>25 bonus true damage</trueDamage> (5s cooldown).<br><br><rules>Champion level <attention>9</attention> or greater required to purchase. Elixir of Sorcery's true damage effect has no cooldown when attacking turrets. Drinking a different Elixir will replace the existing one's effects.</rules></mainText><br>",Temporarily grants Ability Power and Bonus Damage to champions and turrets.,2139.png,500,Consumable ManaRegen SpellDamage,
2140,Elixir of Wrath,<mainText><stats></stats><active>Active - Consume:</active> Drink to gain <scaleAD>30 Attack Damage</scaleAD> and <lifeSteal>15% Physical Vamp</lifeSteal> (against champions) for 3 minutes.<br><br><rules>Drinking a different Elixir will replace the existing one's effects.</rules></mainText><br>,Temporarily grants Attack Damage and heals you when dealing physical damage to champions.,2140.png,500,Consumable Damage LifeSteal SpellVamp,
2403,Minion Dematerializer,<mainText><stats></stats><active>Active - Consume:</active> Kill target lane minion (10s ).</mainText><br>,,2403.png,0,,
2419,Commencing Stopwatch,<mainText><stats></stats><li>Transforms into a <rarityGeneric>Stopwatch</rarityGeneric> after 14 minutes. Takedowns reduce this timer by 2 minutes. That <rarityGeneric>Stopwatch</rarityGeneric> contributes 250 gold to the items it builds into.<br><br><rules>Stopwatch normally contributes 650 gold</rules></mainText><br>,,2419.png,0,Active,
2420,Stopwatch,"<mainText><stats></stats><active>Active -</active> <active>Stasis:</active> Use one time only to become <status>Invulnerable</status> and <status>Untargetable</status> for 2.5 seconds, but are prevented from taking any other actions during this time (transforms into a <rarityGeneric>Broken Stopwatch</rarityGeneric>).</mainText><br>",Activate to become invincible but unable to take actions,2420.png,650,Active,
2421,Broken Stopwatch,"<mainText><stats></stats><br><li><passive>Shattered Time:</passive> Stopwatch is broken, but can still be upgraded.<br><br><rules>After breaking one Stopwatch, the shopkeeper will only sell you <rarityGeneric>Broken Stopwatches.</rarityGeneric></rules></mainText><br>",Upgrades to stopwatch,2421.png,650,,
2422,Slightly Magical Footwear,<mainText><stats><attention>25</attention> Move Speed</stats><br><li>Grants an additional <speed>10 Move Speed</speed>. Boots that build from Slightly Magical Footwear retain this bonus Move Speed.</mainText><br>,,2422.png,300,Boots,25ms
2423,Perfectly Timed Stopwatch,"<mainText><stats></stats><active>Active -</active> <active>Stasis:</active> Use one time only to become <status>Invulnerable</status> and <status>Untargetable</status> for 2.5 seconds, but are prevented from taking any other actions during this time (transforms into a <rarityGeneric>Broken Stopwatch</rarityGeneric>).</mainText><br>",Activate to become invincible but unable to take actions,2423.png,650,Active,
2424,Broken Stopwatch,"<mainText><stats></stats><br><li><passive>Shattered Time:</passive> Stopwatch is broken, but can still be upgraded.<br><br><rules>After breaking one Stopwatch, the shopkeeper will only sell you <rarityGeneric>Broken Stopwatches.</rarityGeneric></rules></mainText><br>",,2424.png,650,,
3001,Evenshroud,"<mainText><stats><attention>200</attention> Health<br><attention>20</attention> Ability Haste<br><attention>30</attention> Armor<br><attention>30</attention> Magic Resist</stats><br><li><passive>Coruscation:</passive> After <status>Immobilizing</status> champions or being <status>Immobilized</status>, cause that target and all nearby enemy Champions to take 9% increased damage for 4 seconds. <br><br><rarityMythic>Mythic Passive:</rarityMythic> Grants all other <rarityLegendary>Legendary</rarityLegendary> items <attention>5 Armor and Magic Resist</attention></mainText><br>",Nearby enemies take more magic damage,3001.png,2500,Health SpellBlock Armor AbilityHaste,200hp 20ah 30ar 30mr
3003,Archangel's Staff,"<mainText><stats><attention>60</attention> Ability Power<br><attention>500</attention> Mana<br><attention>200</attention> Health</stats><br><li><passive>Awe:</passive> Gain Ability Haste equal to <scaleMana>0.5% bonus mana.</scaleMana><li><passive>Mana Charge:</passive> Strike a target with an Ability to consume a charge and gain <scaleMana>3 bonus Mana</scaleMana>, doubled if the target is a champion. Grants a maximum of 360 Mana at which point this item transforms into <rarityLegendary>Seraph's Embrace</rarityLegendary>.<br><br><rules>Gain a new <passive>Mana Charge</passive> every 8 seconds (max 4).</rules></mainText><br>",Increases Ability Power based on maximum Mana,3003.png,2600,Health SpellDamage Mana Active AbilityHaste,60ap 500mp 200hp
3004,Manamune,"<mainText><stats><attention>35</attention> Attack Damage<br><attention>500</attention> Mana<br><attention>15</attention> Ability Haste</stats><br><li><passive>Awe:</passive> Gain bonus <scaleAD>Attack Damage equal to 2.5% max Mana</scaleAD>. <li><passive>Mana Charge:</passive> Strike a target with an Ability or Attack to consume a charge and gain <scaleMana>3 bonus Mana</scaleMana>, doubled if the target is a champion. Grants a maximum of 360 Mana at which point this item transforms into <rarityLegendary>Muramana</rarityLegendary>.<br><br><rules>Gain a new <passive>Mana Charge</passive> every 8 seconds (max 4).</rules></mainText><br>",Increases Attack Damage based on maximum Mana,3004.png,2900,Damage Mana CooldownReduction OnHit AbilityHaste,35ad 500mp 15ah
3006,Berserker's Greaves,<mainText><stats><attention>35%</attention> Attack Speed<br><attention>45</attention> Move Speed</stats></mainText><br>,Enhances Move Speed and Attack Speed,3006.png,1100,AttackSpeed Boots,35as 45ms
3009,Boots of Swiftness,<mainText><stats><attention>60</attention> Move Speed</stats><br><li>The strength of movement slowing effects is reduced by 25%.</mainText><br>,Enhances Move Speed and reduces the effect of slows,3009.png,900,Boots,60ms
3011,Chemtech Putrifier,"<mainText><stats><attention>55</attention> Ability Power<br><attention>20</attention> Ability Haste<br><attention>100%</attention> Base Mana Regen</stats><br><li><passive>Puffcap Toxin:</passive> Dealing magic damage applies <status>40% Grievous Wounds</status> to champions for 3 seconds. Healing or shielding another ally will enhance both of you, causing the next damage to enemy champions to apply <status>60% Grievous Wounds</status>.<br><br><rules><status>Grievous Wounds</status> reduces the effectiveness of Healing and Regeneration effects.</rules></mainText><br>",,3011.png,2300,SpellDamage ManaRegen CooldownReduction AbilityHaste,55ap 20ah 100mpr
3020,Sorcerer's Shoes,<mainText><stats><attention>18</attention> Magic Penetration<br><attention>45</attention> Move Speed</stats></mainText><br>,Enhances Move Speed and magic damage,3020.png,1100,Boots MagicPenetration,18mpen 45ms
3024,Glacial Buckler,<mainText><stats><attention>20</attention> Armor<br><attention>250</attention> Mana<br><attention>10</attention> Ability Haste</stats></mainText><br>,Increases Armor and Cooldown Reduction,3024.png,900,Armor Mana CooldownReduction AbilityHaste,20ar 250mp 10ah
3026,Guardian Angel,"<mainText><stats><attention>40</attention> Attack Damage<br><attention>40</attention> Armor</stats><br><li><passive>Saving Grace:</passive> Upon taking lethal damage, restores <healing>50% base Health</healing> and <scaleMana>30% max Mana</scaleMana> after 4 seconds of stasis (300s cooldown).</mainText><br>",Periodically revives champion upon death,3026.png,2800,Armor Damage,40ad 40ar
3031,Infinity Edge,"<mainText><stats><attention>70</attention> Attack Damage<br><attention>20%</attention> Critical Strike Chance</stats><br><li><passive>Perfection:</passive> If you have at least 60% Critical Strike Chance, gain35% Critical Strike Damage.</mainText><br>",Massively enhances critical strikes,3031.png,3400,CriticalStrike Damage,70ad 20cs
3033,Mortal Reminder,<mainText><stats><attention>25</attention> Attack Damage<br><attention>25%</attention> Attack Speed<br><attention>20%</attention> Critical Strike Chance<br><attention>7%</attention> Move Speed</stats><br><li><passive>Sepsis:</passive> Dealing physical damage applies <status>40% Grievous Wounds</status> to enemy champions for 3 seconds. Dealing 3 consecutive Attacks to an enemy champion enhances this effect to <status>60% Grievous Wounds</status> against them until the effect is allowed to elapse.<br><br><rules><status>Grievous Wounds</status> reduces the effectiveness of Healing and Regeneration effects.</rules></mainText><br>,Overcomes enemies with high Health recovery and Armor,3033.png,2500,Damage CriticalStrike AttackSpeed NonbootsMovement,25ad 25as 20cs 7ms
3035,Last Whisper,<mainText><stats><attention>20</attention> Attack Damage<br><attention>20%</attention> Armor Penetration</stats></mainText><br>,Overcomes enemies with high Armor,3035.png,1450,ArmorPenetration Damage,20ad 20apen
3036,Lord Dominik's Regards,<mainText><stats><attention>30</attention> Attack Damage<br><attention>20%</attention> Critical Strike Chance<br><attention>35%</attention> Armor Penetration</stats><br><li><passive>Giant Slayer:</passive> Deal up to <physicalDamage>15% bonus physical damage</physicalDamage> against champions with greater max Health than you.<br><br><rules>Max damage increase reached when Health difference is greater than 2000.</rules></mainText><br>,Overcomes enemies with high health and armor,3036.png,3000,Damage CriticalStrike ArmorPenetration,30ad 20cs 35apen
3040,Seraph's Embrace,"<mainText><stats><attention>80</attention> Ability Power<br><attention>860</attention> Mana<br><attention>250</attention> Health</stats><br><li><passive>Awe:</passive> Gain Ability Haste equal to <scaleMana>1.3% bonus Mana</scaleMana>.<li><passive>Empyrean:</passive> Restore <scaleHealth>Health</scaleHealth> equal to 35% of <scaleMana>Mana</scaleMana> spent, up to 25-50 (+10% AP) per cast. Toggle abilities can heal up to the same value per second. </mainText><br>",,3040.png,2600,Health SpellDamage Mana AbilityHaste,80ap 860mp 250hp
3041,Mejai's Soulstealer,<mainText><stats><attention>20</attention> Ability Power<br><attention>100</attention> Health</stats><br><li><passive>Glory:</passive> Gain 4 stacks for a champion kill or 2 stacks for an assist (up to 25 stacks total). Lose 10 stacks on death.<li><passive>Dread:</passive> Grants <scaleAP>5 Ability Power</scaleAP> per stack of <passive>Glory</passive>. Gain <speed>10% Move Speed</speed> if you have at least 10 stacks.<br><br><rules>Obtained <passive>Glory</passive> stacks are preserved between this item and <rarityGeneric>Dark Seal</rarityGeneric>.</rules></mainText><br>,Grants Ability Power for kills and assists,3041.png,1600,Health SpellDamage NonbootsMovement,20ap 100hp
3042,Muramana,<mainText><stats><attention>35</attention> Attack Damage<br><attention>860</attention> Mana<br><attention>15</attention> Ability Haste</stats><br><li><passive>Awe:</passive> Gain bonus <scaleAD>Attack Damage equal to 2.5% max Mana</scaleAD>. <li><passive>Shock:</passive> Attacks against champions deal an additional <physicalDamage>1.5% Max Mana physical damage</physicalDamage> (<OnHit>On-Hit</OnHit>). Damaging Abilities against champions deal an additional <physicalDamage>(3.5% for Melee users | 2.7% for Ranged users) Max Mana + 6% Total AD physical damage</physicalDamage>.</mainText><br>,,3042.png,3000,Damage Mana CooldownReduction OnHit ArmorPenetration,35ad 860mp 15ah
3044,Phage,"<mainText><stats><attention>15</attention> Attack Damage<br><attention>200</attention> Health</stats><br><li><passive>Sturdy:</passive> After you deal physical damage to a champion, restore <healing>2% max Health</healing> over 6 seconds.<br><br><rules>Restoration reduced to 50% for Ranged users.</rules></mainText><br>",Attacks and kills give a small burst of speed,3044.png,1100,Health HealthRegen Damage,15ad 200hp
3046,Phantom Dancer,"<mainText><stats><attention>20</attention> Attack Damage<br><attention>25%</attention> Attack Speed<br><attention>20%</attention> Critical Strike Chance<br><attention>7%</attention> Move Speed</stats><br><li><passive>Spectral Waltz:</passive> Attacks grant <status>Ghosting</status> and <speed>7% Move Speed</speed> for 3 seconds. In addition, Attacking 4 times causes Spectral Waltz to also grant <attackSpeed>30% Attack Speed</attackSpeed> for the same duration.<br><br><rules><status>Ghosted</status> units ignore collision with other units.</rules></mainText><br>",Move faster while attacking enemies and gain a shield when on low health.,3046.png,2600,Damage CriticalStrike AttackSpeed NonbootsMovement,20ad 25as 20cs 7ms
3047,Plated Steelcaps,<mainText><stats><attention>20</attention> Armor<br><attention>45</attention> Move Speed</stats><br><li>Reduces incoming damage from Attacks by 12%.</mainText><br>,Enhances Move Speed and reduces incoming basic attack damage,3047.png,1100,Armor Boots,20ar 45ms
3050,Zeke's Convergence,"<mainText><stats><attention>250</attention> Health<br><attention>25</attention> Armor<br><attention>250</attention> Mana<br><attention>20</attention> Ability Haste</stats><br><br><active>Active -</active> <active>Conduit:</active> Designate an <attention>Accomplice</attention> (60s cooldown).<br><li><passive>Convergence:</passive> For 8 seconds after you <status>Immobilize</status> an enemy, your <attention>Accomplice's</attention> Attacks and Ability hits apply an additional <magicDamage>(30 - 70 (based on level)(+1.5% max Health)(+7.5% Ability Power) magic damage</magicDamage> to that enemy.<br><br><rules>Champions can only be linked by one Zeke's Convergence at a time.</rules></mainText><br>",Grants you and your ally bonuses when you cast your ultimate.,3050.png,2400,Health Armor Mana Active CooldownReduction OnHit AbilityHaste,250hp 25ar 250mp 20ah
3051,Hearthbound Axe,<mainText><stats><attention>15</attention> Attack Damage<br><attention>15%</attention> Attack Speed</stats><br><li><passive>Nimble:</passive> Attacking a unit grants <speed>(20 | 10 for Ranged champions) Move Speed</speed> for 2 seconds.</mainText><br>,,3051.png,1000,Damage AttackSpeed NonbootsMovement,15ad 15as
3053,Sterak's Gage,"<mainText><stats><attention>400</attention> Health</stats><br><li><passive>The Claws that Catch:</passive> Gain 40% of base AD as bonus Attack Damage.<li><passive>Lifeline:</passive> Upon taking damage that would reduce your Health below 30%, gain a <shield>75% Bonus HP Shield</shield> for 3.75 seconds (60s ).</mainText><br>",Shields against large bursts of damage,3053.png,3100,Health Damage,400hp
3057,Sheen,"<mainText><stats></stats><br><li><passive>Spellblade:</passive> After using an Ability, your next Attack is enhanced with an additional <physicalDamage>(100% base Attack Damage) physical damage</physicalDamage> <OnHit>On-Hit</OnHit> (1.5s cooldown). </mainText><br>",Grants a bonus to next attack after spell cast,3057.png,700,OnHit,
3065,Spirit Visage,<mainText><stats><attention>450</attention> Health<br><attention>40</attention> Magic Resist<br><attention>10</attention> Ability Haste<br><attention>100%</attention> Base Health Regen</stats><br><li><passive>Boundless Vitality:</passive> Increases all Healing and Shielding effectiveness on you by 25%.</mainText><br>,Increases Health and healing effects,3065.png,2900,Health SpellBlock HealthRegen CooldownReduction AbilityHaste,450hp 40mr 10ah 100hpr
3066,Winged Moonplate,<mainText><stats><attention>150</attention> Health</stats><br><li><passive>Flight:</passive> Grants <speed>5% Move Speed</speed>.</mainText><br>,,3066.png,800,Health NonbootsMovement,150hp
3067,Kindlegem,<mainText><stats><attention>200</attention> Health<br><attention>10</attention> Ability Haste</stats></mainText><br>,Increases Health and Cooldown Reduction,3067.png,800,Health CooldownReduction AbilityHaste,200hp 10ah
3068,Sunfire Aegis,"<mainText><stats><attention>350</attention> Health<br><attention>35</attention> Armor<br><attention>35</attention> Magic Resist<br><attention>20</attention> Ability Haste</stats><br><li><passive>Immolate:</passive> Taking or dealing damage causes you to begin dealing <magicDamage>(12 - 30 (based on level) + 1% bonus Health) magic damage</magicDamage> per second to nearby enemies (increased by 25% against minions and 150% against monsters) for 3 seconds. Damaging Champions or Epic Monsters with this effect adds a stack, increasing subsequent <passive>Immolate</passive> damage by 12% for 5 seconds (max stacks 6).<li><passive>Flametouch:</passive> At maximum <passive>Immolate</passive> stacks, your Attacks burn nearby enemies for your <passive>Immolate</passive> damage per second for 3 seconds.<br><br><rarityMythic>Mythic Passive:</rarityMythic> Grants all other <rarityLegendary>Legendary</rarityLegendary> items <attention>5%</attention> Tenacity and Slow Resist and <attention>50</attention> Health.</mainText><br>",High armor. Constantly deals damage to nearby enemies. Immobilize enemies to release a wave of damaging flame,3068.png,3200,Health SpellBlock Armor Aura CooldownReduction AbilityHaste,350hp 35ar 35mr 20ah
